번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
1,영화상영관,03_13_02_P,4260000,CDFF4220002018000001,20180129,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,033-343-1088,,,강원도 횡성군 횡성읍 읍하리 281-1,"강원도 횡성군 횡성읍 앞들서3로 6, 횡성문화원및작은영화관 1층",25236,횡성시네마 1관,2.02E+13,U,40:00.0,,286456.5152,443688.2787,영화상영관,,3,,,,2,1,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20180129,
2,영화상영관,03_13_02_P,4260000,CDFF4220002018000002,20180129,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,033-343-1088,,,강원도 횡성군 횡성읍 읍하리 281-1,"강원도 횡성군 횡성읍 앞들서3로 6, 횡성문화원 및 작은영화관 1층",25236,횡성시네마 2관,2.02E+13,U,40:00.0,,286456.5152,443688.2787,영화상영관,,3,,,,2,1,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20180129,
3,영화상영관,03_13_02_P,5670000,CDFF4220002004100001,20041210,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,055-241-7337,,631090,경상남도 창원시 마산합포구 창동 197,경상남도 창원시 마산합포구 창동거리길 50  (창동),,메가라인마산1관,2.01E+13,I,23:01.0,,343339.78,190702.999,영화상영관,영화상영관,,기타,,,9,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041210,상업지역
4,영화상영관,03_13_02_P,5670000,CDFF4220002004100002,20041210,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,631090,경상남도 창원시 마산합포구 창동 197,경상남도 창원시 마산합포구 창동거리길 50  (창동),,메가라인마산2관,2.01E+13,I,23:01.0,,343339.78,190702.999,영화상영관,영화상영관,,기타,,,9,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041210,상업지역
5,영화상영관,03_13_02_P,5670000,CDFF4220002004100003,20041210,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,631090,경상남도 창원시 마산합포구 창동 197,경상남도 창원시 마산합포구 창동거리길 50  (창동),,메가라인마산3관,2.01E+13,I,23:01.0,,343339.78,190702.999,영화상영관,영화상영관,,기타,,,9,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041210,상업지역
6,영화상영관,03_13_02_P,5670000,CDFF4220002004100004,20041210,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,631090,경상남도 창원시 마산합포구 창동 197,경상남도 창원시 마산합포구 창동거리길 50  (창동),,메가라인마산4관,2.01E+13,I,23:01.0,,343339.78,190702.999,영화상영관,영화상영관,,기타,,,9,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041210,상업지역
7,영화상영관,03_13_02_P,5670000,CDFF4220002004100005,20041210,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,055-241-7337,,631090,경상남도 창원시 마산합포구 창동 197,경상남도 창원시 마산합포구 창동거리길 50  (창동),,메가라인마산5관,2.01E+13,I,23:01.0,,343339.78,190702.999,영화상영관,영화상영관,,기타,,,9,2,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20041210,상업지역
8,영화상영관,03_13_02_P,3780000,CDFF4220002000000026,20000909,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,461810,경기도 성남시 수정구 신흥동 2463-4번지,경기도 성남시 수정구 산성대로 331  (신흥동),,롯데시네마12관,2.01E+13,I,59:59.0,,213447.1295,437970.1511,영화상영관,영화상영관,,,,,2,,근린생활시설,,,,,,,,,,,,,,,,,,,영화관,,20000909,
9,영화상영관,03_13_02_P,3940000,CDFF4220002003000018,20031110,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,411838,경기도 고양시 일산서구 주엽동 22번지,,,그랜드시네마4관,2.01E+13,I,17:14.0,,178859.7914,463205.2272,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20031110,
10,영화상영관,03_13_02_P,3940000,CDFF4220002003000019,20031110,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,411838,경기도 고양시 일산서구 주엽동 22번지,,,그랜드시네마5관,2.01E+13,I,17:14.0,,178859.7914,463205.2272,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20031110,
11,영화상영관,03_13_02_P,3940000,CDFF4220002003000020,20031110,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,411838,경기도 고양시 일산서구 주엽동 22번지,,,그랜드시네마6관,2.01E+13,I,17:14.0,,178859.7914,463205.2272,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20031110,
12,영화상영관,03_13_02_P,3940000,CDFF4220002003000016,20031110,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,411838,경기도 고양시 일산서구 주엽동 22번지,,,그랜드시네마2관,2.01E+13,I,17:14.0,,178859.7914,463205.2272,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20031110,
13,영화상영관,03_13_02_P,3940000,CDFF4220002003000017,20031110,,4,취소/말소/만료/정지/중지,31,등록취소,,,,,,,411838,경기도 고양시 일산서구 주엽동 22번지,,,그랜드시네마3관,2.01E+13,I,17:14.0,,178859.7914,463205.2272,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20031110,
14,영화상영관,03_13_02_P,4680000,CDFF4220002003000001,20030409,,4,취소/말소/만료/정지/중지,32,신고취소,,,,,,,570989,전라북도 익산시 중앙동3가 100번지,전라북도 익산시 인북로3길 19 (중앙동3가),,뉴코리아극장,2.02E+13,I,59:59.0,,195494.1296,270880.2851,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030409,
15,영화상영관,03_13_02_P,4490000,CDFF4220002001000001,20010918,,3,폐업,34,영업장폐쇄,,,,,620-7202,,,충청남도 천안시 동남구 신부동 354-1번지,충청남도 천안시 동남구 만남로 43  (신부동),,야우리시네마(제1관),2.01E+13,I,59:59.0,,213910.8506,368774.0876,영화상영관,영화상영관,8,,,0,7,1,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20010918,
16,영화상영관,03_13_02_P,4490000,CDFF4220002001000002,20010918,,3,폐업,34,영업장폐쇄,,,,,620-7202,,,충청남도 천안시 동남구 신부동 354-1번지,충청남도 천안시 동남구 만남로 43  (신부동),,야우리시네마(제2관),2.01E+13,I,59:59.0,,213910.8506,368774.0876,영화상영관,영화상영관,8,,,0,7,1,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20010918,
17,영화상영관,03_13_02_P,4490000,CDFF4220002001000003,20010918,,3,폐업,34,영업장폐쇄,,,,,620-7202,,,충청남도 천안시 동남구 신부동 354-1번지,충청남도 천안시 동남구 만남로 43 (신부동),330160,야우리시네마(제3관),2.01E+13,I,59:59.0,,213910.8506,368774.0876,영화상영관,영화상영관,8,,,0,7,1,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20010918,
